date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:16	2188/2188	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22c6e7b16f0150728743809212ee0a06e4%22	https://www.biggames.io/robots.txt		(from )
16:17:16	93636/93636	---MCZ	200	added ('OK')	text/html	etag:W/%2216dc4-WHuXYsuctdghS8uKgjtc3+Pl72g%22	https://www.biggames.io/	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/index.html	(from )
16:17:17	8284/8284	---M--	200	added ('OK')	image/png	etag:%224e1c90ed1b64e3e8be9bf6edb37dafaa%22	https://www.biggames.io/apple-touch-icon.png	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/apple-touch-icon.png	(from https://www.biggames.io/)
16:17:17	162852/162852	---M--	200	added ('OK')	image/png	etag:%2256690ff166b17c5013213f85bfc626ee%22	https://bigblog-storage.s3.us-east-1.amazonaws.com/Logo.png	C:/My%20Web%20Sites/epic%20Games/bigblog-storage.s3.us-east-1.amazonaws.com/Logo.png	(from https://www.biggames.io/)
16:17:17	1545/1545	---M--	200	added ('OK')	image/png	etag:%22ada975bcb59192c5010609cd8c73a6f1%22	https://www.biggames.io/favicon-32x32.png	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/favicon-32x32.png	(from https://www.biggames.io/)
16:17:18	826/826	---M--	200	added ('OK')	image/png	etag:%22ec385f70c1c2d36cdfb1eeaf94de8080%22	https://www.biggames.io/favicon-16x16.png	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/favicon-16x16.png	(from https://www.biggames.io/)
16:17:18	426/426	---M--	200	added ('OK')	application/manifest+json	etag:%22b9aa277fcfc34c31db6c7a7ea3469b8c%22	https://www.biggames.io/site.webmanifest	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/site.webmanifest	(from https://www.biggames.io/)
16:17:18	9325/9325	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22c6e7b16f0150728743809212ee0a06e4%22	https://www.biggames.io/safari-pinned-tab.svg	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/safari-pinned-tab.svg	(from https://www.biggames.io/)
16:17:18	30792/30792	---MCZ	200	added ('OK')	text/css	etag:W/%2261969e7de4257004e61db5fd4720bb18%22	https://www.biggames.io/_next/static/css/2438be7e5993b829.css	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/_next/static/css/2438be7e5993b829.css	(from https://www.biggames.io/)
16:17:18	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%2299442aec5788bccac9b2f0ead2afdd6b%22	https://www.biggames.io/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://www.biggames.io/)
16:17:19	2188/2188	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d3dc6ff8cf582609f99ac94e62508c4d%22	https://www.biggames.io/_next/static/chunks/webpack-df4cf1c8d23aa877.js	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/_next/static/chunks/webpack-df4cf1c8d23aa877.js	(from https://www.biggames.io/)
16:17:19	140561/140561	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c53f07f31313b389b89993a3f36abdec%22	https://www.biggames.io/_next/static/chunks/framework-fc97f3f1282ce3ed.js	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/_next/static/chunks/framework-fc97f3f1282ce3ed.js	(from https://www.biggames.io/)
16:17:19	103594/103594	---MCZ	200	added ('OK')	application/javascript	etag:W/%227979b858ef56e596288b4abcb0b71c68%22	https://www.biggames.io/_next/static/chunks/main-7f20fca650af4d2b.js	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/_next/static/chunks/main-7f20fca650af4d2b.js	(from https://www.biggames.io/)
16:17:19	194927/194927	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ec0e23ace4ace50d21d9f7e32f9e533b%22	https://www.biggames.io/_next/static/chunks/pages/_app-7c5de9da0d09ddac.js	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/_next/static/chunks/pages/_app-7c5de9da0d09ddac.js	(from https://www.biggames.io/)
16:17:20	121406/121406	---MCZ	200	added ('OK')	application/javascript	etag:W/%22edaac0aad05ab67c533d61da8591a66f%22	https://www.biggames.io/_next/static/chunks/872-5a9c1b080030df4f.js	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/_next/static/chunks/872-5a9c1b080030df4f.js	(from https://www.biggames.io/)
16:17:20	51322/51322	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b38dacb23222b10c8b0ab8fc8c1efcbd%22	https://www.biggames.io/_next/static/chunks/409-4d4aa865c3afc9f7.js	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/_next/static/chunks/409-4d4aa865c3afc9f7.js	(from https://www.biggames.io/)
16:17:20	3070/3070	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b0077bc2b077e9129419b4ae4f33e780%22	https://www.biggames.io/_next/static/chunks/pages/index-4dec21ac69d6985b.js	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/_next/static/chunks/pages/index-4dec21ac69d6985b.js	(from https://www.biggames.io/)
16:17:20	1553/1553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22616940b95b425b9fa01e442a3de64105%22	https://www.biggames.io/_next/static/y-N199h_Hv1jWNYP6qOkg/_buildManifest.js	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/_next/static/y-N199h_Hv1jWNYP6qOkg/_buildManifest.js	(from https://www.biggames.io/)
16:17:20	448/448	---M--	200	added ('OK')	application/javascript	etag:%22874cb3706ac2f7614d09dcbbad6a8e34%22	https://www.biggames.io/_next/static/y-N199h_Hv1jWNYP6qOkg/_ssgManifest.js	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/_next/static/y-N199h_Hv1jWNYP6qOkg/_ssgManifest.js	(from https://www.biggames.io/)
16:17:21	92/92	---M--	200	added ('OK')	application/javascript	etag:%227c3f7e060745668041278118c0bb3d6d%22	https://www.biggames.io/_next/static/y-N199h_Hv1jWNYP6qOkg/_middlewareManifest.js	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/_next/static/y-N199h_Hv1jWNYP6qOkg/_middlewareManifest.js	(from https://www.biggames.io/)
16:17:21	590/590	---M--	200	added ('OK')	image/svg+xml	etag:%229bab4c713c99d64e67af0bde6e6cf904%22	https://www.biggames.io/_next/static/media/closingX.d4f7fc93.svg	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/_next/static/media/closingX.d4f7fc93.svg	(from https://www.biggames.io/)
16:17:21	27264/27264	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e7964fea686e0acfcab2fdacf3af4453%22	https://www.biggames.io/_next/static/media/bigGames.66f7ea84.svg	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/_next/static/media/bigGames.66f7ea84.svg	(from https://www.biggames.io/)
16:17:22	100809/100809	---MCZ	200	added ('OK')	text/html	etag:W/%22189c9-CrtOaqjgcAI6N8AvRlHnPkMbjUg%22	https://www.biggames.io/post	C:/My%20Web%20Sites/epic%20Games/www.biggames.io/post.html	(from https://www.biggames.io/)
